жалоба;категория_срочности;направление_врача
Көкүрөгүм катуу ооруп жатат, дем ала албай жатам;Красный;Кардиолог
Үч күндөн бери температура 39°, катуу жөтөл жана денем сыздап жатат;Оранжевый;Терапевт
Аркамдагы кал так өзгөрдү, текшерүүнү каалайм;Зеленый;Дерматолог
Баламдын кулагы ооруп жатат жана температурасы 37.8;Оранжевый;ЛОР
Велосипедтен куладым, тизем ооруп жатат, баса албай жатам;Оранжевый;Хирург/Травматолог
Гинекологго пландалган текшерүү;Зеленый;Гинеколог
Бир жумадан бери жөтөл жана мурдунан суу агууда, бирок температурасы жок;Желтый;Терапевт
Башым катуу ооруп жатат, сол колум уйкурагандай;Красный;Невролог
Көкүрөгүмдүн сол жагы катуу сайылып ооруп жатат, колума берип жатат, бир сааттан бери дем алуу оор;Красный;Кардиолог
Баламдын температурасы 38.5 экинчи күн, алсыз, мурдунан суу агууда жана аз жөтөлүп жатат;Оранжевый;Педиатр
Гинекологго текшерүүгө жазылгым келет, курсагымдын асты бир аз тартып ооруп жатат;Желтый;Гинеколог
Манжамды бычак менен кесип алдым, 30 мүнөттөн бери токтобой кандоодо;Красный;Хирург
Тамагым ооруп жатат, жутуу кыйын, өзгөчө эртең менен кычышат;Желтый;Терапевт
Тез туруп кеткенде баш айланып кетет, жыгылып кала жаздайм — бул бир нече күн кайталанып жатат;Желтый;Невролог
Катуу тиш ооруп жатат, эт шишип кеткен, жегенде катуу оорутат;Оранжевый;Стоматолог
Териде бышык чыкты жана кычышат, эки күндөн бери өтпөй жатат;Желтый;Дерматолог
Кыймылдан кийин белим ооруп калды, бутума берип жатат;Желтый;Невролог
Тез-тез заара кылгым келет, куйгондой сезилет жана жыты начар;Оранжевый;Уролог
Бутумда жаңы кара так пайда болду, кал такка окшош;Зеленый;Дерматолог
Тепкичтен кулагандан кийин белим катуу ооруп жатат, турууга кыйын, кыймылдаганда оорутат;Оранжевый;Хирург/Травматолог
Таң эртең менен башым айланып, кусуп жатам, туура туруп кете албай жатам;Красный;Невролог
Гинекологдон текшерүүдөн өтүүнү пландап жатам, айызым кээде кечигет;Зеленый;Гинеколог
Баламда эки күндөн бери кургак жөтөл, түндө күчөйт, температурасы жок, бирок тамагы ооруп жатат;Желтый;Педиатр
Бир жуманын ичинде оң капталым тынымсыз ооруп жатат, айрыкча тамактан кийин;Оранжевый;Терапевт
Тамагым күтүүсүздөн ооруп калды, дээрлик сүйлөй албайм, температура жогору жана калтырак болууда;Оранжевый;Терапевт
Заара кылганда катуу куйгундай сезилет, бат-баттан туалетке чуркайм, жыты жагымсыз;Оранжевый;Уролог
Көзүм кызарып, суу агып, жарыктан коркуп жатат, бир нерсе түшкөндөй сезилет;Оранжевый;Офтальмолог
Кечээтен бери ичим өтүп жатат, күнүнө 5-6 жолу, ашказаным бурап ооруйт;Желтый;Терапевт
Баламдын денесине кызыл бүдүрлөр чыгып, кычышып жатат, айрыкча түнкүсүн;Желтый;Педиатр/Дерматолог
Оң колумдун чыканагы шишип, кыймылдатсам катуу ооруйт, бир нерсе көтөргөндөн кийин башталды;Желтый;Хирург/Травматолог
Дайыма чарчаңкымын, эч нерсеге көңүлүм жок, уйкум качып, тамакка табитим жок;Желтый;Терапевт/Невролог
Колумдагы күйүк кызарып, ыйлаакча пайда болду, тийсе ачышат;Оранжевый;Хирург
Баламдын бетине майда ак тактар чыкты, мурда мындай болгон эмес;Зеленый;Педиатр/Дерматолог
Жүрөгүм тез-тез согуп, аба жетпей, башым айланат. Бул күтүүсүздөн башталат.;Красный;Кардиолог
Бутумдун бармагынын тырмагы ичине өсүп, кызарып, ириңдеп жатат;Желтый;Хирург
Эки күндөн бери кулагым чуулдап, начар уга баштадым;Желтый;ЛОР
Аллергиям кармап, чүчкүрүп, мурдум бүтүп, көзүм кычышып жатат;Желтый;Аллерголог/Терапевт
Эртең менен бетим шишип ойгоном, өзгөчө көзүмдүн айланасы, бөйрөгүм оорушу мүмкүн;Оранжевый;Терапевт/Нефролог
Жаагымдын астындагы бездер чоңоюп, тийсе ооруп жатат, бир аз температурам бар;Желтый;Терапевт
Баламдын тили аппак болуп, оозунун ичинде ак тактар пайда болду, тамак жегенде ыйлайт;Желтый;Педиатр/Стоматолог
Кекиртегимде бир нерсе тургандай сезилет, жутуу кыйын, үнүм каргылданып калды;Желтый;ЛОР/Терапевт
Ичим катып, эки-үч күндө бир гана чоң дааратка барам, ал да кыйынчылык менен;Зеленый;Терапевт/Проктолог
Оор нерсе көтөргөндөн кийин белим катуу ооруп, бутума таркап, баса албай калдым;Оранжевый;Невролог/Хирург
Терим кургап, түлөп, кычышып жатат, өзгөчө суу тийгенден кийин;Зеленый;Дерматолог
Кан басымым 160/100, башым ооруп, кулагым чуулдайт;Красный;Кардиолог/Терапевт
Күтүүсүздөн сол бутумдун балтыры катуу ооруп, шишип, кызарып кетти, тийсе ысык;Красный;Хирург/Флеболог
Балам мектептен бит жуктуруп алыптыр, башы катуу кычышып жатат;Зеленый;Педиатр/Дерматолог
Боюма бүткөнүнө 2 ай болду, токсикоз катуу, эртең менен кусуп, эч нерсе жей албай жатам;Желтый;Гинеколог
Тишимдин пломбасы түшүп калды, оорубайт, бирок тамак тыгылат;Зеленый;Стоматолог
Күтүүсүз эсимди жоготуп жыгылдым, азыр башым ооруп, көңүлүм айнып жатат;Красный;Невролог/Травматолог
Көзүмдүн алдында кара тактар учуп, чагылышып, көрүүм начарлап кетти;Оранжевый;Офтальмолог
Оң тизем ооруп, шишип, басканда кыйчылдайт, эртең менен катып калат;Желтый;Ревматолог/Травматолог
Бетиме безетки көп чыгып кетти, ириңдүү, оорутат;Желтый;Дерматолог
Баламдын киндиги кызарып, сууланып, жагымсыз жыттанып жатат (жаңы төрөлгөн);Оранжевый;Педиатр/Неонатолог
Тамактангандан кийин ашказанымда зарна пайда болуп, оозума кычкыл даам келет;Желтый;Гастроэнтеролог/Терапевт
Жыныстык жактан кычышуу, ак суюктук бөлүнүп жатат, жыты бар;Желтый;Гинеколог (аялдар үчүн) / Уролог (эркектер үчүн)
Сасык тумоодон кийин жөтөлүм калбай койду, эки жумадан ашты, көкүрөгүм кысылат;Желтый;Терапевт/Пульмонолог
Түн ичинде тишимди кычыратам, эртең менен жаагым ооруп ойгоном;Зеленый;Стоматолог/Невролог
Баламдын ичи катуу ооруп, тынчсызданып ыйлап жатат, кусуп, температурасы көтөрүлдү;Оранжевый;Педиатр/Хирург
Көптөн бери депрессиядамын, эч нерсеге кызыгуум жок, өзүмдү жаман сезем;Желтый;Психотерапевт/Невролог
Кан анализинде канттын деңгээли жогору чыкты, текшерилгим келет;Зеленый;Эндокринолог
Буттарымда веналар чыгып, кечинде шишип, ооруп жатат;Желтый;Флеболог/Хирург